Kode Wilayah;Provinsi;Kabupaten Kota;Komoditas ;Tanggal;No;HET/HA ;Level 2 All
1101;Aceh;Kab. Aceh Selatan;Bawang Merah;30/06/2026;1;41500;
1101;Aceh;Kab. Aceh Selatan;Bawang Merah;29/06/2026;1;41500;40000
1101;Aceh;Kab. Aceh Selatan;Bawang Putih Honan;30/06/2026;2;38000;
1101;Aceh;Kab. Aceh Selatan;Bawang Putih Honan;29/06/2026;2;38000;50000
1101;Aceh;Kab. Aceh Selatan;Beras Medium;30/06/2026;3;14000;
1101;Aceh;Kab. Aceh Selatan;Beras Medium;29/06/2026;3;14000;14350
1101;Aceh;Kab. Aceh Selatan;Beras Premium;30/06/2026;4;15400;
1101;Aceh;Kab. Aceh Selatan;Beras Premium;29/06/2026;4;15400;17025
1101;Aceh;Kab. Aceh Selatan;Cabai Merah Keriting;30/06/2026;5;55000;
1101;Aceh;Kab. Aceh Selatan;Cabai Merah Keriting;29/06/2026;5;55000;48000
1101;Aceh;Kab. Aceh Selatan;Daging Ayam Ras;30/06/2026;6;40000;
1101;Aceh;Kab. Aceh Selatan;Daging Ayam Ras;29/06/2026;6;40000;36000
1101;Aceh;Kab. Aceh Selatan;Garam Halus;30/06/2026;7;;
1101;Aceh;Kab. Aceh Selatan;Garam Halus;29/06/2026;7;;13000
1101;Aceh;Kab. Aceh Selatan;Gula Pasir Curah;30/06/2026;8;17500;
1101;Aceh;Kab. Aceh Selatan;Gula Pasir Curah;29/06/2026;8;17500;19000
1101;Aceh;Kab. Aceh Selatan;Ikan Kembung;30/06/2026;9;;
1101;Aceh;Kab. Aceh Selatan;Ikan Kembung;29/06/2026;9;;45000
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Curah;30/06/2026;10;;
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Curah;29/06/2026;10;;18000
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Kemasan Premium;30/06/2026;11;;
1101;Aceh;Kab. Aceh Selatan;Minyak Goreng Sawit Kemasan Premium;29/06/2026;11;;23000
1101;Aceh;Kab. Aceh Selatan;Minyakita;30/06/2026;12;15700;
1101;Aceh;Kab. Aceh Selatan;Minyakita;29/06/2026;12;15700;15700
1101;Aceh;Kab. Aceh Selatan;Telur Ayam Ras;30/06/2026;13;30000;
1101;Aceh;Kab. Aceh Selatan;Telur Ayam Ras;29/06/2026;13;30000;29500
1101;Aceh;Kab. Aceh Selatan;Tepung Terigu;30/06/2026;14;;
1101;Aceh;Kab. Aceh Selatan;Tepung Terigu;29/06/2026;14;;14000
1102;Aceh;Kab. Aceh Tenggara;Bawang Merah;30/06/2026;15;41500;40000
1102;Aceh;Kab. Aceh Tenggara;Bawang Merah;29/06/2026;15;41500;40000
1102;Aceh;Kab. Aceh Tenggara;Bawang Putih Honan;30/06/2026;16;38000;40000
1102;Aceh;Kab. Aceh Tenggara;Bawang Putih Honan;29/06/2026;16;38000;40000
1102;Aceh;Kab. Aceh Tenggara;Beras Medium;30/06/2026;17;14000;13600
1102;Aceh;Kab. Aceh Tenggara;Beras Medium;29/06/2026;17;14000;13600
1102;Aceh;Kab. Aceh Tenggara;Beras Premium;30/06/2026;18;15400;14300
1102;Aceh;Kab. Aceh Tenggara;Beras Premium;29/06/2026;18;15400;14300
1102;Aceh;Kab. Aceh Tenggara;Cabai Merah Keriting;30/06/2026;19;55000;48000
1102;Aceh;Kab. Aceh Tenggara;Cabai Merah Keriting;29/06/2026;19;55000;48000
1102;Aceh;Kab. Aceh Tenggara;Cabai Rawit Merah;30/06/2026;20;57000;40000
1102;Aceh;Kab. Aceh Tenggara;Cabai Rawit Merah;29/06/2026;20;57000;40000
1102;Aceh;Kab. Aceh Tenggara;Daging Ayam Ras;30/06/2026;21;40000;35000
1102;Aceh;Kab. Aceh Tenggara;Daging Ayam Ras;29/06/2026;21;40000;35000
1102;Aceh;Kab. Aceh Tenggara;Daging Sapi Paha Belakang;30/06/2026;22;140000;160000
1102;Aceh;Kab. Aceh Tenggara;Daging Sapi Paha Belakang;29/06/2026;22;140000;160000
1102;Aceh;Kab. Aceh Tenggara;Garam Halus;30/06/2026;23;;15000
1102;Aceh;Kab. Aceh Tenggara;Garam Halus;29/06/2026;23;;15000
1102;Aceh;Kab. Aceh Tenggara;Gula Pasir Curah;30/06/2026;24;17500;19000
1102;Aceh;Kab. Aceh Tenggara;Gula Pasir Curah;29/06/2026;24;17500;19000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Curah;30/06/2026;25;;18000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Curah;29/06/2026;25;;18000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Kemasan Premium;30/06/2026;26;;24000
1102;Aceh;Kab. Aceh Tenggara;Minyak Goreng Sawit Kemasan Premium;29/06/2026;26;;24000
1102;Aceh;Kab. Aceh Tenggara;Minyakita;30/06/2026;27;15700;18000
1102;Aceh;Kab. Aceh Tenggara;Minyakita;29/06/2026;27;15700;17500
1102;Aceh;Kab. Aceh Tenggara;Telur Ayam Ras;30/06/2026;28;30000;26000
1102;Aceh;Kab. Aceh Tenggara;Telur Ayam Ras;29/06/2026;28;30000;26000
1102;Aceh;Kab. Aceh Tenggara;Tepung Terigu;30/06/2026;29;;15000
1102;Aceh;Kab. Aceh Tenggara;Tepung Terigu;29/06/2026;29;;15000
1103;Aceh;Kab. Aceh Timur;Bawang Merah;30/06/2026;30;41500;
1103;Aceh;Kab. Aceh Timur;Bawang Merah;29/06/2026;30;41500;35000
1103;Aceh;Kab. Aceh Timur;Bawang Putih Honan;30/06/2026;31;38000;
1103;Aceh;Kab. Aceh Timur;Bawang Putih Honan;29/06/2026;31;38000;40000
1103;Aceh;Kab. Aceh Timur;Beras Medium;30/06/2026;32;14000;
1103;Aceh;Kab. Aceh Timur;Beras Medium;29/06/2026;32;14000;14600
1103;Aceh;Kab. Aceh Timur;Beras Premium;30/06/2026;33;15400;
1103;Aceh;Kab. Aceh Timur;Beras Premium;29/06/2026;33;15400;16000
1103;Aceh;Kab. Aceh Timur;Cabai Merah Keriting;30/06/2026;34;55000;
1103;Aceh;Kab. Aceh Timur;Cabai Merah Keriting;29/06/2026;34;55000;40000
1103;Aceh;Kab. Aceh Timur;Cabai Rawit Merah;30/06/2026;35;57000;
1103;Aceh;Kab. Aceh Timur;Cabai Rawit Merah;29/06/2026;35;57000;40000
1103;Aceh;Kab. Aceh Timur;Daging Ayam Ras;30/06/2026;36;40000;
1103;Aceh;Kab. Aceh Timur;Daging Ayam Ras;29/06/2026;36;40000;27000
1103;Aceh;Kab. Aceh Timur;Daging Sapi Paha Belakang;30/06/2026;37;140000;
1103;Aceh;Kab. Aceh Timur;Daging Sapi Paha Belakang;29/06/2026;37;140000;170000
1103;Aceh;Kab. Aceh Timur;Garam Halus;30/06/2026;38;;
1103;Aceh;Kab. Aceh Timur;Garam Halus;29/06/2026;38;;11000
1103;Aceh;Kab. Aceh Timur;Gula Pasir Curah;30/06/2026;39;17500;
1103;Aceh;Kab. Aceh Timur;Gula Pasir Curah;29/06/2026;39;17500;20000
1103;Aceh;Kab. Aceh Timur;Minyak Goreng Sawit Curah;30/06/2026;40;;
1103;Aceh;Kab. Aceh Timur;Minyak Goreng Sawit Curah;29/06/2026;40;;21000
1103;Aceh;Kab. Aceh Timur;Minyak Goreng Sawit Kemasan Premium;30/06/2026;41;;
1103;Aceh;Kab. Aceh Timur;Minyak Goreng Sawit Kemasan Premium;29/06/2026;41;;24000
1103;Aceh;Kab. Aceh Timur;Minyakita;30/06/2026;42;15700;
1103;Aceh;Kab. Aceh Timur;Minyakita;29/06/2026;42;15700;15700
1103;Aceh;Kab. Aceh Timur;Telur Ayam Ras;30/06/2026;43;30000;
1103;Aceh;Kab. Aceh Timur;Telur Ayam Ras;29/06/2026;43;30000;25000
1103;Aceh;Kab. Aceh Timur;Tepung Terigu;30/06/2026;44;;
1103;Aceh;Kab. Aceh Timur;Tepung Terigu;29/06/2026;44;;12000
1104;Aceh;Kab. Aceh Tengah;Bawang Merah;30/06/2026;45;41500;
1104;Aceh;Kab. Aceh Tengah;Bawang Merah;29/06/2026;45;41500;35000
1104;Aceh;Kab. Aceh Tengah;Bawang Putih Honan;30/06/2026;46;38000;
1104;Aceh;Kab. Aceh Tengah;Bawang Putih Honan;29/06/2026;46;38000;45000
1104;Aceh;Kab. Aceh Tengah;Beras Medium;30/06/2026;47;14000;
1104;Aceh;Kab. Aceh Tengah;Beras Medium;29/06/2026;47;14000;14000
1104;Aceh;Kab. Aceh Tengah;Beras Premium;30/06/2026;48;15400;
1104;Aceh;Kab. Aceh Tengah;Beras Premium;29/06/2026;48;15400;16100
1104;Aceh;Kab. Aceh Tengah;Cabai Merah Besar;30/06/2026;49;;
1104;Aceh;Kab. Aceh Tengah;Cabai Merah Besar;29/06/2026;49;;50000
1104;Aceh;Kab. Aceh Tengah;Cabai Merah Keriting;30/06/2026;50;55000;
1104;Aceh;Kab. Aceh Tengah;Cabai Merah Keriting;29/06/2026;50;55000;45000
1104;Aceh;Kab. Aceh Tengah;Daging Ayam Ras;30/06/2026;51;40000;
1104;Aceh;Kab. Aceh Tengah;Daging Ayam Ras;29/06/2026;51;40000;30000
1104;Aceh;Kab. Aceh Tengah;Daging Sapi Paha Belakang;30/06/2026;52;140000;
1104;Aceh;Kab. Aceh Tengah;Daging Sapi Paha Belakang;29/06/2026;52;140000;160000
1104;Aceh;Kab. Aceh Tengah;Garam Halus;30/06/2026;53;;
1104;Aceh;Kab. Aceh Tengah;Garam Halus;29/06/2026;53;;12000
1104;Aceh;Kab. Aceh Tengah;Gula Pasir Curah;30/06/2026;54;17500;
1104;Aceh;Kab. Aceh Tengah;Gula Pasir Curah;29/06/2026;54;17500;20000
1104;Aceh;Kab. Aceh Tengah;Minyak Goreng Sawit Curah;30/06/2026;55;;
1104;Aceh;Kab. Aceh Tengah;Minyak Goreng Sawit Curah;29/06/2026;55;;18900
1104;Aceh;Kab. Aceh Tengah;Minyak Goreng Sawit Kemasan Premium;30/06/2026;56;;
1104;Aceh;Kab. Aceh Tengah;Minyak Goreng Sawit Kemasan Premium;29/06/2026;56;;24000
1104;Aceh;Kab. Aceh Tengah;Minyakita;30/06/2026;57;15700;
1104;Aceh;Kab. Aceh Tengah;Minyakita;29/06/2026;57;15700;15700
1104;Aceh;Kab. Aceh Tengah;Telur Ayam Ras;30/06/2026;58;30000;
1104;Aceh;Kab. Aceh Tengah;Telur Ayam Ras;29/06/2026;58;30000;28000
1104;Aceh;Kab. Aceh Tengah;Tepung Terigu;30/06/2026;59;;
1104;Aceh;Kab. Aceh Tengah;Tepung Terigu;29/06/2026;59;;13000
1105;Aceh;Kab. Aceh Barat;Bawang Merah;30/06/2026;60;41500;
1105;Aceh;Kab. Aceh Barat;Bawang Merah;29/06/2026;60;41500;40000
1105;Aceh;Kab. Aceh Barat;Beras Medium;30/06/2026;61;14000;
1105;Aceh;Kab. Aceh Barat;Beras Medium;29/06/2026;61;14000;14400
1105;Aceh;Kab. Aceh Barat;Beras Premium;30/06/2026;62;15400;
1105;Aceh;Kab. Aceh Barat;Beras Premium;29/06/2026;62;15400;16100
1105;Aceh;Kab. Aceh Barat;Cabai Merah Besar;30/06/2026;63;;
1105;Aceh;Kab. Aceh Barat;Cabai Merah Besar;29/06/2026;63;;50000
1105;Aceh;Kab. Aceh Barat;Cabai Merah Keriting;30/06/2026;64;55000;
1105;Aceh;Kab. Aceh Barat;Cabai Merah Keriting;29/06/2026;64;55000;50000
1105;Aceh;Kab. Aceh Barat;Cabai Rawit Merah;30/06/2026;65;57000;
1105;Aceh;Kab. Aceh Barat;Cabai Rawit Merah;29/06/2026;65;57000;50000
1105;Aceh;Kab. Aceh Barat;Daging Ayam Ras;30/06/2026;66;40000;
1105;Aceh;Kab. Aceh Barat;Daging Ayam Ras;29/06/2026;66;40000;30000
1105;Aceh;Kab. Aceh Barat;Daging Sapi Paha Belakang;30/06/2026;67;140000;
1105;Aceh;Kab. Aceh Barat;Daging Sapi Paha Belakang;29/06/2026;67;140000;150000
1105;Aceh;Kab. Aceh Barat;Garam Halus;30/06/2026;68;;
1105;Aceh;Kab. Aceh Barat;Garam Halus;29/06/2026;68;;14000
1105;Aceh;Kab. Aceh Barat;Gula Pasir Curah;30/06/2026;69;17500;
1105;Aceh;Kab. Aceh Barat;Gula Pasir Curah;29/06/2026;69;17500;19500
1105;Aceh;Kab. Aceh Barat;Minyak Goreng Sawit Curah;30/06/2026;70;;
1105;Aceh;Kab. Aceh Barat;Minyak Goreng Sawit Curah;29/06/2026;70;;19000
1105;Aceh;Kab. Aceh Barat;Minyak Goreng Sawit Kemasan Premium;30/06/2026;71;;
1105;Aceh;Kab. Aceh Barat;Minyak Goreng Sawit Kemasan Premium;29/06/2026;71;;25000
1105;Aceh;Kab. Aceh Barat;Minyakita;30/06/2026;72;15700;
1105;Aceh;Kab. Aceh Barat;Minyakita;29/06/2026;72;15700;15700
1105;Aceh;Kab. Aceh Barat;Telur Ayam Ras;30/06/2026;73;30000;
1105;Aceh;Kab. Aceh Barat;Telur Ayam Ras;29/06/2026;73;30000;25600
1105;Aceh;Kab. Aceh Barat;Tepung Terigu;30/06/2026;74;;
1105;Aceh;Kab. Aceh Barat;Tepung Terigu;29/06/2026;74;;15000
1106;Aceh;Kab. Aceh Besar;Bawang Merah;30/06/2026;75;41500;
1106;Aceh;Kab. Aceh Besar;Bawang Merah;29/06/2026;75;41500;38000
1106;Aceh;Kab. Aceh Besar;Bawang Putih Honan;30/06/2026;76;38000;
1106;Aceh;Kab. Aceh Besar;Bawang Putih Honan;29/06/2026;76;38000;45000
1106;Aceh;Kab. Aceh Besar;Beras Medium;30/06/2026;77;14000;
1106;Aceh;Kab. Aceh Besar;Beras Medium;29/06/2026;77;14000;14300
1106;Aceh;Kab. Aceh Besar;Beras Premium;30/06/2026;78;15400;
1106;Aceh;Kab. Aceh Besar;Beras Premium;29/06/2026;78;15400;15700
1106;Aceh;Kab. Aceh Besar;Cabai Merah Keriting;30/06/2026;79;55000;
1106;Aceh;Kab. Aceh Besar;Cabai Merah Keriting;29/06/2026;79;55000;50000
1106;Aceh;Kab. Aceh Besar;Daging Ayam Ras;30/06/2026;80;40000;
1106;Aceh;Kab. Aceh Besar;Daging Ayam Ras;29/06/2026;80;40000;32000
1106;Aceh;Kab. Aceh Besar;Daging Sapi Paha Belakang;30/06/2026;81;140000;
1106;Aceh;Kab. Aceh Besar;Daging Sapi Paha Belakang;29/06/2026;81;140000;150000
1106;Aceh;Kab. Aceh Besar;Garam Halus;30/06/2026;82;;
1106;Aceh;Kab. Aceh Besar;Garam Halus;29/06/2026;82;;14000
1106;Aceh;Kab. Aceh Besar;Gula Pasir Curah;30/06/2026;83;17500;
1106;Aceh;Kab. Aceh Besar;Gula Pasir Curah;29/06/2026;83;17500;20000
1106;Aceh;Kab. Aceh Besar;Ikan Kembung;30/06/2026;84;;
1106;Aceh;Kab. Aceh Besar;Ikan Kembung;29/06/2026;84;;50000
1106;Aceh;Kab. Aceh Besar;Minyak Goreng Sawit Curah;30/06/2026;85;;
1106;Aceh;Kab. Aceh Besar;Minyak Goreng Sawit Curah;29/06/2026;85;;19800
1106;Aceh;Kab. Aceh Besar;Minyak Goreng Sawit Kemasan Premium;30/06/2026;86;;
1106;Aceh;Kab. Aceh Besar;Minyak Goreng Sawit Kemasan Premium;29/06/2026;86;;24000
1106;Aceh;Kab. Aceh Besar;Minyakita;30/06/2026;87;15700;
1106;Aceh;Kab. Aceh Besar;Minyakita;29/06/2026;87;15700;15700
1106;Aceh;Kab. Aceh Besar;Telur Ayam Ras;30/06/2026;88;30000;
1106;Aceh;Kab. Aceh Besar;Telur Ayam Ras;29/06/2026;88;30000;24000
1106;Aceh;Kab. Aceh Besar;Tepung Terigu;30/06/2026;89;;
1106;Aceh;Kab. Aceh Besar;Tepung Terigu;29/06/2026;89;;14000
1107;Aceh;Kab. Pidie;Bawang Merah;30/06/2026;90;41500;
1107;Aceh;Kab. Pidie;Bawang Merah;29/06/2026;90;41500;35000
1107;Aceh;Kab. Pidie;Bawang Putih Honan;30/06/2026;91;38000;
1107;Aceh;Kab. Pidie;Bawang Putih Honan;29/06/2026;91;38000;42000
1107;Aceh;Kab. Pidie;Beras Medium;30/06/2026;92;14000;
1107;Aceh;Kab. Pidie;Beras Medium;29/06/2026;92;14000;15000
1107;Aceh;Kab. Pidie;Beras Premium;30/06/2026;93;15400;
1107;Aceh;Kab. Pidie;Beras Premium;29/06/2026;93;15400;15675
1107;Aceh;Kab. Pidie;Cabai Merah Keriting;30/06/2026;94;55000;
1107;Aceh;Kab. Pidie;Cabai Merah Keriting;29/06/2026;94;55000;50000
1107;Aceh;Kab. Pidie;Daging Ayam Ras;30/06/2026;95;40000;
1107;Aceh;Kab. Pidie;Daging Ayam Ras;29/06/2026;95;40000;39000
1107;Aceh;Kab. Pidie;Daging Sapi Paha Belakang;30/06/2026;96;140000;
1107;Aceh;Kab. Pidie;Daging Sapi Paha Belakang;29/06/2026;96;140000;150000
1107;Aceh;Kab. Pidie;Garam Halus;30/06/2026;97;;
1107;Aceh;Kab. Pidie;Garam Halus;29/06/2026;97;;12000
1107;Aceh;Kab. Pidie;Gula Pasir Curah;30/06/2026;98;17500;
1107;Aceh;Kab. Pidie;Gula Pasir Curah;29/06/2026;98;17500;20000
1107;Aceh;Kab. Pidie;Minyak Goreng Sawit Curah;30/06/2026;99;;
1107;Aceh;Kab. Pidie;Minyak Goreng Sawit Curah;29/06/2026;99;;18900
1107;Aceh;Kab. Pidie;Minyak Goreng Sawit Kemasan Premium;30/06/2026;100;;
1107;Aceh;Kab. Pidie;Minyak Goreng Sawit Kemasan Premium;29/06/2026;100;;25000
1107;Aceh;Kab. Pidie;Minyakita;30/06/2026;101;15700;
1107;Aceh;Kab. Pidie;Minyakita;29/06/2026;101;15700;15700
1107;Aceh;Kab. Pidie;Telur Ayam Ras;30/06/2026;102;30000;
1107;Aceh;Kab. Pidie;Telur Ayam Ras;29/06/2026;102;30000;26720
1107;Aceh;Kab. Pidie;Tepung Terigu;30/06/2026;103;;
1107;Aceh;Kab. Pidie;Tepung Terigu;29/06/2026;103;;14000
1108;Aceh;Kab. Aceh Utara;Bawang Merah;30/06/2026;104;41500;
1108;Aceh;Kab. Aceh Utara;Bawang Merah;29/06/2026;104;41500;32000
1108;Aceh;Kab. Aceh Utara;Beras Medium;30/06/2026;105;14000;
1108;Aceh;Kab. Aceh Utara;Beras Medium;29/06/2026;105;14000;14300
1108;Aceh;Kab. Aceh Utara;Beras Premium;30/06/2026;106;15400;
1108;Aceh;Kab. Aceh Utara;Beras Premium;29/06/2026;106;15400;15600
1108;Aceh;Kab. Aceh Utara;Cabai Merah Keriting;30/06/2026;107;55000;
1108;Aceh;Kab. Aceh Utara;Cabai Merah Keriting;29/06/2026;107;55000;50000
1108;Aceh;Kab. Aceh Utara;Daging Ayam Ras;30/06/2026;108;40000;
1108;Aceh;Kab. Aceh Utara;Daging Ayam Ras;29/06/2026;108;40000;32000
1108;Aceh;Kab. Aceh Utara;Daging Sapi Paha Belakang;30/06/2026;109;140000;
1108;Aceh;Kab. Aceh Utara;Daging Sapi Paha Belakang;29/06/2026;109;140000;160000
1108;Aceh;Kab. Aceh Utara;Garam Halus;30/06/2026;110;;
1108;Aceh;Kab. Aceh Utara;Garam Halus;29/06/2026;110;;15000
1108;Aceh;Kab. Aceh Utara;Minyak Goreng Sawit Curah;30/06/2026;111;;
1108;Aceh;Kab. Aceh Utara;Minyak Goreng Sawit Curah;29/06/2026;111;;19000
1108;Aceh;Kab. Aceh Utara;Minyak Goreng Sawit Kemasan Premium;30/06/2026;112;;
1108;Aceh;Kab. Aceh Utara;Minyak Goreng Sawit Kemasan Premium;29/06/2026;112;;24000
1108;Aceh;Kab. Aceh Utara;Minyakita;30/06/2026;113;15700;
1108;Aceh;Kab. Aceh Utara;Minyakita;29/06/2026;113;15700;15700
1108;Aceh;Kab. Aceh Utara;Telur Ayam Ras;30/06/2026;114;30000;
1108;Aceh;Kab. Aceh Utara;Telur Ayam Ras;29/06/2026;114;30000;24000
1108;Aceh;Kab. Aceh Utara;Tepung Terigu;30/06/2026;115;;
1108;Aceh;Kab. Aceh Utara;Tepung Terigu;29/06/2026;115;;14000
1109;Aceh;Kab. Simeulue;Bawang Merah;30/06/2026;116;41500;
1109;Aceh;Kab. Simeulue;Bawang Merah;29/06/2026;116;41500;50000
1109;Aceh;Kab. Simeulue;Bawang Putih Honan;30/06/2026;117;38000;
1109;Aceh;Kab. Simeulue;Bawang Putih Honan;29/06/2026;117;38000;40000
1109;Aceh;Kab. Simeulue;Beras Medium;30/06/2026;118;14000;
1109;Aceh;Kab. Simeulue;Beras Medium;29/06/2026;118;14000;16600
1109;Aceh;Kab. Simeulue;Beras Premium;30/06/2026;119;15400;
1109;Aceh;Kab. Simeulue;Beras Premium;29/06/2026;119;15400;17000
1109;Aceh;Kab. Simeulue;Cabai Merah Keriting;30/06/2026;120;55000;
1109;Aceh;Kab. Simeulue;Cabai Merah Keriting;29/06/2026;120;55000;60000
1109;Aceh;Kab. Simeulue;Daging Ayam Ras;30/06/2026;121;40000;
1109;Aceh;Kab. Simeulue;Daging Ayam Ras;29/06/2026;121;40000;47000
1109;Aceh;Kab. Simeulue;Daging Sapi Paha Belakang;30/06/2026;122;140000;
1109;Aceh;Kab. Simeulue;Daging Sapi Paha Belakang;29/06/2026;122;140000;150000
1109;Aceh;Kab. Simeulue;Garam Halus;30/06/2026;123;;
1109;Aceh;Kab. Simeulue;Garam Halus;29/06/2026;123;;15000
1109;Aceh;Kab. Simeulue;Gula Pasir Curah;30/06/2026;124;17500;
1109;Aceh;Kab. Simeulue;Gula Pasir Curah;29/06/2026;124;17500;21000
1109;Aceh;Kab. Simeulue;Minyak Goreng Sawit Curah;30/06/2026;125;;
1109;Aceh;Kab. Simeulue;Minyak Goreng Sawit Curah;29/06/2026;125;;19800
1109;Aceh;Kab. Simeulue;Minyak Goreng Sawit Kemasan Premium;30/06/2026;126;;
1109;Aceh;Kab. Simeulue;Minyak Goreng Sawit Kemasan Premium;29/06/2026;126;;24000
1109;Aceh;Kab. Simeulue;Minyakita;30/06/2026;127;15700;
1109;Aceh;Kab. Simeulue;Minyakita;29/06/2026;127;15700;15700
1109;Aceh;Kab. Simeulue;Telur Ayam Ras;30/06/2026;128;30000;
1109;Aceh;Kab. Simeulue;Telur Ayam Ras;29/06/2026;128;30000;27500
1109;Aceh;Kab. Simeulue;Tepung Terigu;30/06/2026;129;;
1109;Aceh;Kab. Simeulue;Tepung Terigu;29/06/2026;129;;12000
1110;Aceh;Kab. Aceh Singkil;Bawang Merah;30/06/2026;130;41500;
1110;Aceh;Kab. Aceh Singkil;Bawang Merah;29/06/2026;130;41500;35000
1110;Aceh;Kab. Aceh Singkil;Bawang Putih Honan;30/06/2026;131;38000;
1110;Aceh;Kab. Aceh Singkil;Bawang Putih Honan;29/06/2026;131;38000;40000
1110;Aceh;Kab. Aceh Singkil;Beras Medium;30/06/2026;132;14000;
1110;Aceh;Kab. Aceh Singkil;Beras Medium;29/06/2026;132;14000;15166,5
1110;Aceh;Kab. Aceh Singkil;Beras Premium;30/06/2026;133;15400;
1110;Aceh;Kab. Aceh Singkil;Beras Premium;29/06/2026;133;15400;16200
1110;Aceh;Kab. Aceh Singkil;Cabai Merah Keriting;30/06/2026;134;55000;
1110;Aceh;Kab. Aceh Singkil;Cabai Merah Keriting;29/06/2026;134;55000;45000
1110;Aceh;Kab. Aceh Singkil;Daging Ayam Ras;30/06/2026;135;40000;
1110;Aceh;Kab. Aceh Singkil;Daging Ayam Ras;29/06/2026;135;40000;40000
1110;Aceh;Kab. Aceh Singkil;Daging Sapi Paha Belakang;30/06/2026;136;140000;
1110;Aceh;Kab. Aceh Singkil;Daging Sapi Paha Belakang;29/06/2026;136;140000;150000
1110;Aceh;Kab. Aceh Singkil;Garam Halus;30/06/2026;137;;
1110;Aceh;Kab. Aceh Singkil;Garam Halus;29/06/2026;137;;18000
1110;Aceh;Kab. Aceh Singkil;Gula Pasir Curah;30/06/2026;138;17500;
1110;Aceh;Kab. Aceh Singkil;Gula Pasir Curah;29/06/2026;138;17500;19000
1110;Aceh;Kab. Aceh Singkil;Minyak Goreng Sawit Curah;30/06/2026;139;;
1110;Aceh;Kab. Aceh Singkil;Minyak Goreng Sawit Curah;29/06/2026;139;;18000
1110;Aceh;Kab. Aceh Singkil;Minyak Goreng Sawit Kemasan Premium;30/06/2026;140;;
1110;Aceh;Kab. Aceh Singkil;Minyak Goreng Sawit Kemasan Premium;29/06/2026;140;;23666,67
1110;Aceh;Kab. Aceh Singkil;Minyakita;30/06/2026;141;15700;
1110;Aceh;Kab. Aceh Singkil;Minyakita;29/06/2026;141;15700;15700
1110;Aceh;Kab. Aceh Singkil;Telur Ayam Ras;30/06/2026;142;30000;
1110;Aceh;Kab. Aceh Singkil;Telur Ayam Ras;29/06/2026;142;30000;25100
1110;Aceh;Kab. Aceh Singkil;Tepung Terigu;30/06/2026;143;;
1110;Aceh;Kab. Aceh Singkil;Tepung Terigu;29/06/2026;143;;14000
1111;Aceh;Kab. Bireuen;Bawang Putih Honan;30/06/2026;144;38000;
1111;Aceh;Kab. Bireuen;Bawang Putih Honan;29/06/2026;144;38000;35333,33
1111;Aceh;Kab. Bireuen;Beras Medium;30/06/2026;145;14000;
1111;Aceh;Kab. Bireuen;Beras Medium;29/06/2026;145;14000;16000
1111;Aceh;Kab. Bireuen;Cabai Merah Keriting;30/06/2026;146;55000;
1111;Aceh;Kab. Bireuen;Cabai Merah Keriting;29/06/2026;146;55000;52666,67
1111;Aceh;Kab. Bireuen;Daging Ayam Ras;30/06/2026;147;40000;
1111;Aceh;Kab. Bireuen;Daging Ayam Ras;29/06/2026;147;40000;31066,67
1111;Aceh;Kab. Bireuen;Daging Sapi Paha Belakang;30/06/2026;148;140000;
1111;Aceh;Kab. Bireuen;Daging Sapi Paha Belakang;29/06/2026;148;140000;160000
1111;Aceh;Kab. Bireuen;Garam Halus;30/06/2026;149;;
1111;Aceh;Kab. Bireuen;Garam Halus;29/06/2026;149;;15000
1111;Aceh;Kab. Bireuen;Gula Pasir Curah;30/06/2026;150;17500;
1111;Aceh;Kab. Bireuen;Gula Pasir Curah;29/06/2026;150;17500;19333,33
1111;Aceh;Kab. Bireuen;Minyak Goreng Sawit Curah;30/06/2026;151;;
1111;Aceh;Kab. Bireuen;Minyak Goreng Sawit Curah;29/06/2026;151;;18000
1111;Aceh;Kab. Bireuen;Minyak Goreng Sawit Kemasan Premium;30/06/2026;152;;
1111;Aceh;Kab. Bireuen;Minyak Goreng Sawit Kemasan Premium;29/06/2026;152;;24000
1111;Aceh;Kab. Bireuen;Minyakita;30/06/2026;153;15700;
1111;Aceh;Kab. Bireuen;Minyakita;29/06/2026;153;15700;17000
1111;Aceh;Kab. Bireuen;Telur Ayam Ras;30/06/2026;154;30000;
1111;Aceh;Kab. Bireuen;Telur Ayam Ras;29/06/2026;154;30000;26066,67
1111;Aceh;Kab. Bireuen;Tepung Terigu;30/06/2026;155;;
1111;Aceh;Kab. Bireuen;Tepung Terigu;29/06/2026;155;;12000
1112;Aceh;Kab. Aceh Barat Daya;Bawang Merah;30/06/2026;156;41500;
1112;Aceh;Kab. Aceh Barat Daya;Bawang Merah;29/06/2026;156;41500;30000
1112;Aceh;Kab. Aceh Barat Daya;Bawang Putih Honan;30/06/2026;157;38000;
1112;Aceh;Kab. Aceh Barat Daya;Bawang Putih Honan;29/06/2026;157;38000;40000
